dog,ant_look,sex,age,first_baited_box,condition,breed
1,0,f,2,brown,TrueBelief,white_swiss_shepherd
2,1,f,14,brown,FalseBelief,chesapeake_bay_retriever
3,1,m,10,blue,FalseBelief,chesapeake_bay_retriever
4,1,m,2,brown,TrueBelief,chesapeake_bay_retriever
5,1,m,6,blue,TrueBelief,australian_shepherd
6,0,f,0.83,blue,TrueBelief,australian_shepherd
7,1,m,3,blue,FalseBelief,collie
8,1,m,5,brown,TrueBelief,belgian_shepherd
9,1,f,3,brown,FalseBelief,white_swiss_shepherd
10,1,f,11,brown,TrueBelief,border_collie
11,0,f,0.67,blue,FalseBelief,border_collie
12,0,m,10,blue,TrueBelief,border_collie
13,1,m,1,brown,TrueBelief,saluki
14,1,m,5,blue,TrueBelief,siberian_husky
15,0,f,2,blue,TrueBelief,australian_shepherd
16,0,f,12,brown,TrueBelief,labrador
17,1,m,1,brown,FalseBelief,border_collie
18,0,f,7,blue,TrueBelief,coonhound
19,0,m,5,blue,TrueBelief,irish_setter
20,0,f,2,brown,TrueBelief,australian_shepherd
21,1,f,10,blue,TrueBelief,spanish_greyhound
22,1,m,7,brown,FalseBelief,vizsla
23,0,m,0.83,blue,FalseBelief,weimaraner
24,0,m,11,brown,FalseBelief,bernese_mountain_dog
25,0,f,8,blue,TrueBelief,bullmastiff
26,0,f,9,blue,TrueBelief,samoyed
27,0,f,2,brown,TrueBelief,rhodesian_ridgeback
28,1,f,2,blue,FalseBelief,white_swiss_shepherd
29,1,f,9,blue,TrueBelief,white_swiss_shepherd
30,1,f,2,blue,FalseBelief,parson_russel_terrier
31,1,m,11,blue,TrueBelief,rhodesian_ridgeback
32,1,f,7,blue,TrueBelief,rhodesian_ridgeback
33,0,f,9,blue,TrueBelief,whippet
34,0,m,8,blue,TrueBelief,hovawart
35,0,m,0.5,brown,TrueBelief,bernese_mountain_dog
36,0,f,9,brown,FalseBelief,bernese_mountain_dog
37,0,f,8,brown,FalseBelief,hovawart
38,1,f,4,brown,TrueBelief,hovawart
39,0,f,1,brown,TrueBelief,irish_setter
40,0,f,5,blue,TrueBelief,irish_setter
41,0,m,5,brown,TrueBelief,english_setter
42,0,m,1,brown,FalseBelief,boxer
43,1,f,6,blue,TrueBelief,hungarian_greyhound
44,1,f,6,blue,FalseBelief,hovawart
45,0,f,1,blue,TrueBelief,irish_terrier
46,1,m,5,blue,TrueBelief,bernese_mountain_dog
47,1,f,9,brown,TrueBelief,parson_russel_terrier
48,1,f,2,brown,TrueBelief,whippet
49,1,m,3,blue,TrueBelief,irish_setter
50,0,f,5,blue,FalseBelief,spanish_greyhound
51,1,f,2,brown,FalseBelief,american_staffordshire_terrier
52,1,m,2,brown,TrueBelief,rottweiler
